"left"	"op"	"right"	"expected_class"	"actual_class"	"truth_ok"	"class_ok"	"warnings"	"error"
"CnfAtom_FALSE_free"	"|"	"CnfAtom_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfAtom_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfAtom_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfAtom_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfAtom_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfClause_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfClause_FALSE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfClause_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfClause_FALSE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfClause_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfClause_TRUE_free"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfClause_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfClause_TRUE_owned"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfFormula_FALSE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfFormula_FALSE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfFormula_TRUE_free"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"&"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_free"	"|"	"CnfFormula_TRUE_owned"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"atom"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"|"	"atom"	"CnfClause"	"CnfClause"	TRUE	TRUE	""	""
"CnfAtom_FALSE_owned"	"&"	"clause"	"CnfFormula"	"CnfFormula"	TRUE	TRUE	""	""
